"operation_type","no_of_records","time","db","qid"
"Read","10000","127","postgres","1"
"Read","10000","435","mongo","1"
"Read","10000","204","mongo","2"
"Read","10000","105","postgres","2"
"Create","1","24","mongo","3"
"Create","1","46","postgres","3"
"Update","1","25","postgres","4"
"Update","1","20","mongo","4"
"Delete","1","21","mongo","5"
"Delete","1","222","postgres","5"
"Create","10000","523","mongo","3"
"Delete","10000","3480","mongo","5"
"Update","10000","4596","mongo","4"
"Read","10000","812","mongo","1"
"Read","10000","581","postgres","1"
"Update","10000","529","postgres","4"
"Delete","10000","295","postgres","5"
"Create","10000","1421","postgres","sample_query_id"
"Read","10000","2417","sharded_mongo","1"
"Create","10000","779","sharded_mongo","3"
"Delete","10000","1280","sharded_mongo","5"
"Update","10000","3296","sharded_mongo","4"

